ts,close_bn,close_gt,gap_bps,regime
2026-07-19 01:10:00+00:00,381.64,381.34,-7.860811235720355,weekend
2026-07-19 01:15:00+00:00,381.88,381.57,-8.11773331936716,weekend
2026-07-19 01:20:00+00:00,381.82,381.58,-6.28568435388388,weekend
2026-07-19 01:25:00+00:00,381.9,381.68,-5.760670332547457,weekend
2026-07-19 01:30:00+00:00,381.89,381.66,-6.02267668700307,weekend
2026-07-19 01:35:00+00:00,381.89,381.81,-2.0948440650447875,weekend
2026-07-19 01:40:00+00:00,381.92,381.84,-2.0946795140353025,weekend
2026-07-19 01:45:00+00:00,381.99,381.85,-3.665017408832627,weekend
2026-07-19 01:50:00+00:00,381.93,381.73,-5.236561673604978,weekend
2026-07-19 01:55:00+00:00,382.02,381.75,-7.067692790952984,weekend
2026-07-19 02:00:00+00:00,382.06,381.76,-7.852169816259247,weekend
2026-07-19 02:05:00+00:00,382.18,382.08,-2.616568109268247,weekend
2026-07-19 02:10:00+00:00,382.29,382.25,-1.0463260875259728,weekend
2026-07-19 02:15:00+00:00,382.26,382.15,-2.8776225605608996,weekend
2026-07-19 02:20:00+00:00,382.29,382.14,-3.9237228282207326,weekend
2026-07-19 02:25:00+00:00,382.27,382.11,-4.185523321211804,weekend
2026-07-19 02:30:00+00:00,382.3,382.14,-4.1851948731364,weekend
2026-07-19 02:35:00+00:00,382.36,382.26,-2.615336332253415,weekend
2026-07-19 02:40:00+00:00,382.28,382.23,-1.3079418227468498,weekend
2026-07-19 02:45:00+00:00,382.31,382.22,-2.3541105385671557,weekend
2026-07-19 02:50:00+00:00,382.36,382.25,-2.8768699654779795,weekend
2026-07-19 02:55:00+00:00,382.36,382.24,-3.138403598702544,weekend
2026-07-19 03:00:00+00:00,382.34,382.22,-3.13856776690713,weekend
2026-07-19 03:05:00+00:00,382.3,382.17,-3.400470834422631,weekend
2026-07-19 03:10:00+00:00,382.17,382.06,-2.878300232881381,weekend
2026-07-19 03:15:00+00:00,382.03,381.87,-4.188152762870656,weekend
2026-07-19 03:20:00+00:00,381.99,381.76,-6.021100028796855,weekend
2026-07-19 03:25:00+00:00,381.98,381.77,-5.497670035081725,weekend
2026-07-19 03:30:00+00:00,382.06,381.78,-7.328691828509815,weekend
2026-07-19 03:35:00+00:00,381.97,381.81,-4.188810639579321,weekend
2026-07-19 03:40:00+00:00,381.98,381.81,-4.450494790303461,weekend
2026-07-19 03:45:00+00:00,381.95,381.86,-2.356329362481757,weekend
2026-07-19 03:50:00+00:00,381.91,381.85,-1.5710507711241828,weekend
2026-07-19 03:55:00+00:00,381.96,381.85,-2.8798827102305413,weekend
2026-07-19 04:00:00+00:00,381.9,381.83,-1.832940560355656,weekend
2026-07-19 04:05:00+00:00,381.78,381.67,-2.8812405050016032,weekend
2026-07-19 04:10:00+00:00,381.81,381.62,-4.976297111128902,weekend
2026-07-19 04:15:00+00:00,381.82,381.63,-4.976166780158442,weekend
2026-07-19 04:20:00+00:00,381.72,381.5,-5.763386775647916,weekend
2026-07-19 04:25:00+00:00,381.76,381.58,-4.715004191114813,weekend
2026-07-19 04:30:00+00:00,381.78,381.59,-4.976688145005292,weekend
2026-07-19 04:35:00+00:00,381.87,381.61,-6.808599785267377,weekend
2026-07-19 04:40:00+00:00,381.89,381.58,-8.117520752048968,weekend
2026-07-19 04:45:00+00:00,381.88,381.61,-7.070283858803261,weekend
2026-07-19 04:50:00+00:00,381.88,381.65,-6.022834398240473,weekend
